,Time,Distance,Avg HR,Max HR,Elev Gain,Elev Loss,Avg Run Cadence,Calories,Avg Temperature,Max Run Cadence,HR median,HR std,Pace std,Lap pace median,Avg Pace(s/km),Best Lap,File name,Date,Start time,Type
0,2463.0,9.85,142,151.0,10,10,81,462,25.8,88,142.0,5.569860716108676,4.72535780674126,246.99855875113357,247.17307282941493,254.76653696498053,Szymon+_ywko+_2019-10-25_14-51-28.CSV,2019-10-25,14-51-28,-1
0,3652.0000000000005,14.27,138,156.0,81,115,82,656,13.1,90,140.0,7.667659677948213,21.177635794896766,259.6356589147287,261.4694325787277,308.8339222614841,Szymon+_ywko+_2020-02-23_13-14-08.CSV,2020-02-23,13-14-08,-1
0,1878.0000000000002,5.82,142,158.0,28,35,81,355,27.2,92,140.0,7.205722802244135,19.81753301657744,322.59284485230853,323.3316331615423,358.0287356321839,Szymon+_ywko+_2019-09-28_10-41-52.CSV,2019-09-28,10-41-52,-1
0,1156.0,4.08,134,142.0,0,0,82,195,16.9,91,137.0,7.664194457930175,13.67131150529837,279.8858123569794,285.3713968114382,308.2269736842105,Szymon+_ywko+_2019-12-03_10-36-10.CSV,2019-12-03,10-36-10,-1
0,4746.0,18.02,137,149.0,40,40,84,840,15.4,93,138.0,6.432069882384839,13.543591272788182,264.6090647857889,264.1935488066787,302.2730263157895,Szymon+_ywko+_2019-12-08_09-13-45.CSV,2019-12-08,09-13-45,-1
0,1043.0,4.17,142,150.0,5,10,84,196,26.2,90,144.0,6.346445290537769,762.5901497576211,246.14859437751005,625.2950924014497,2150.398406374502,Szymon+_ywko+_2019-08-21_11-13-53.CSV,2019-08-21,11-13-53,-1
0,376.0,0.76,131,156.0,5,5,66,61,25.7,103,129.0,13.168993617163345,0.0,787.632,787.632,787.632,Szymon+_ywko+_2020-05-16_11-04-33.CSV,2020-05-16,11-04-33,-1
0,3082.0,12.01,144,162.0,98,103,81,599,18.6,109,145.0,8.619523587605183,19.94119716858026,265.1277734873912,267.5758530292874,314.19591836734696,Szymon+_ywko+_2019-10-09_16-15-52.CSV,2019-10-09,16-15-52,-1
0,401.0,0.51,115,154.0,0,0,62,44,26.2,99,111.0,19.77475015644951,0.0,4943.965,4943.965,4943.965,Szymon+_ywko+_2019-09-10_15-02-07.CSV,2019-09-10,15-02-07,-1
0,313.0,1.1,124,133.0,0,0,82,45,19.0,85,126.0,7.577262682892755,0.0,292.4366197183099,292.4366197183099,292.4366197183099,Szymon+_ywko+_2020-01-22_18-34-15.CSV,2020-01-22,18-34-15,-1
