duration,offline
462,false
445,false
451,false
451,false
457,false
450,false
444,false
450,false
451,false
454,false
441,false
443,false
452,false
448,false
442,false
442,false
440,false
448,false
445,false
433,false
436,false
441,false
437,false
443,false
433,false
429,false
440,false
440,false
443,false
426,false
433,false
432,false
436,false
439,false
426,false
431,false
430,false
435,false
438,false
426,false
428,false
428,false
430,false
433,false
436,false
426,false
426,false
427,false
432,false
433,false
432,false
427,false
427,false
426,false
428,false
431,false
435,false
423,false
424,false
423,false
430,false
430,false
428,false
420,false
418,false
423,false
429,false
426,false
431,false
430,false
422,false
424,false
428,false
435,false
433,false
429,false
429,false
432,false
432,false
428,false
428,false
427,false
435,false
429,false
426,false
427,false
433,false
436,false
430,false
422,false
429,false
425,false
432,false
425,false
431,false
424,false
419,false
425,false
430,false
426,false
427,false
422,false
419,false
417,false
421,false
426,false
429,false
420,false
418,false
422,false
417,false
424,false
419,false
425,false
423,false
414,false
417,false
416,false
419,false
419,false
421,false
424,false
417,false
413,false
416,false
416,false
417,false
415,false
416,false
421,false
417,false
414,false
413,false
414,false
415,false
413,false
415,false
416,false
418,false
412,false
410,false
414,false
415,false
418,false
413,false
418,false
416,false
412,false
413,false
412,false
416,false
418,false
415,false
415,false
411,false
413,false
412,false
413,false
421,false
416,false
419,false
417,false
416,false
416,false
415,false
418,false
422,false
422,false
416,false
415,false
412,false
416,false
420,false
418,false
423,false
427,false
415,false
418,false
421,false
419,false
424,false
425,false
423,false
425,false
418,false
418,false
419,false
423,false
419,false
424,false
423,false
418,false
417,false
418,false
420,false
424,false
427,false
420,false
417,false
418,false
414,false
421,false
421,false
418,false
421,false
417,false
417,false
414,false
417,false
417,false
