Column1,Czas,Dystans,Średnie tętno,Maksymalne tętno,Wzrost wysokości,Spadek wysokości,Średni rytm biegu,Średnia długość kroku,Kalorie,Maksymalny rytm biegu,HR median,HR std,Pace std,Lap pace median,Avg Pace(s/km),Best Lap(s/km),Cadence median,Cadence std,File id,Type
167,1541.0,5.89,142,172,63.0,63.0,163,1.4,307.0,168,142.5,2.1343747458109497,9.498537899183338,258.5,261.3333333333333,249.0,163.5,1.5723301886761007,6460376243,BC 1
147,667.0,2.21,164,182,17.0,17.0,161,1.23,169.0,169,165.0,1.4142135623730951,18.0,307.0,307.0,289.0,163.0,2.494438257849294,6460374927,Rozgrzewka
273,1538.0,6.04,155,168,44.0,44.0,163,1.45,369.0,170,158.0,6.233549779791836,11.967548714010828,249.5,254.3333333333333,247.0,163.0,0.6388765649999399,6460373870,BC 1
343,1762.0,6.17,136,161,53.0,53.0,159,1.32,328.0,165,138.0,5.18238775634773,4.412734098291242,285.0,285.8333333333333,281.0,159.0,0.9258200997725514,6460371868,BC 1
87,1310.0,5.58,166,185,114.0,114.0,171,1.48,325.0,220,166.0,7.9933305532383265,75.33920124183314,225.0,255.06896551724137,175.0,175.0,10.770123284139116,6447597548,fartelek
168,1329.0,4.96,148,168,47.0,47.0,162,1.38,301.0,168,150.0,7.440430095095309,6.151422599691879,266.0,267.6,259.0,162.0,1.4142135623730951,6447596887,Rozgrzewka
172,5081.0,20.02,149,170,49.0,49.0,163,1.45,1033.0,170,151.5,6.963476143421474,5.769532043415653,253.5,253.75,242.0,163.0,1.0535653752852738,6428113633,BC 1
81,3065.0,12.05,142,188,149.0,149.0,170,1.37,571.0,194,141.0,7.810628474057853,163.15847357707167,256.5,350.75,200.0,175.0,13.350974522860088,6422641010,BC 3
121,3429.0,13.65,149,188,107.0,107.0,162,1.44,752.0,190,154.0,5.507391482975,39.56808228982894,250.0,245.46153846153845,185.0,158.0,43.1689950100476,6419388839,BC 1 + RT
50,2150.0,9.9,160,176,167.0,167.0,172,1.61,503.0,185,161.0,5.436502143433363,5.467073155618908,218.0,216.66666666666663,206.0,172.0,1.343709624716425,6407874559,fartelek
60,1439.0,4.91,140,162,40.0,40.0,157,1.3,283.0,167,141.0,11.56546583584077,14.647866738880444,291.0,292.8,276.0,158.0,1.624807680927192,6407872889,BC 1
133,875.0,3.02,147,169,12.0,12.0,162,1.28,191.0,199,149.5,4.636809247747852,15.748015748023622,282.0,290.0,276.0,163.5,2.48746859276655,6397810824,Rozgrzewka
269,7725.0,30.01,157,167,115.0,115.0,163,1.43,1634.0,173,157.0,3.643305265418193,7.727655961976223,256.0,257.5,243.0,163.0,1.6454775154653998,6383536639,BC 1
37,2159.0,7.87,138,146,32.0,32.0,159,1.38,421.0,214,140.5,6.936092199502541,13.232889896012887,275.0,274.125,252.0,158.5,1.3919410907075054,6383531416,BC 1
323,1040.0,4.67,158,178,76.0,76.0,173,1.55,246.0,194,164.5,11.778039829369837,47.50727732532969,226.0,231.5652173913044,180.0,178.5,9.817784316682095,6383529086,fartelek
48,1269.0,5.01,144,166,118.0,118.0,163,1.45,277.0,170,149.5,12.512216252748974,7.227724399837061,256.0,253.6,244.0,162.5,1.3437096247164249,6383527823,Rozgrzewka
311,828.0,3.25,149,157,28.0,28.0,165,1.43,192.0,168,150.5,3.112474899497183,11.469767022723502,254.0,255.3333333333333,242.0,164.5,1.118033988749895,6363164095,Rozgrzewka
288,1743.0,8.01,164,179,44.0,44.0,173,1.59,445.0,182,171.0,13.112994215050604,2.7128168017763383,218.0,217.875,213.0,173.0,3.034777840832814,6363163599,BC 2
16,1267.0,5.01,144,156,14.0,14.0,161,1.47,273.0,166,146.0,4.749268949591669,7.782030583337488,251.0,253.2,246.0,162.0,0.9428090415820636,6363162520,Rozgrzewka
355,1239.0,4.25,145,154,119.0,119.0,162,1.26,247.0,196,148.5,8.21751178885677,93.47220245387902,205.0,279.0,188.0,161.5,15.33818763739706,6363161280,fartelek
175,2776.0,10.67,148,171,123.0,123.0,163,1.41,585.0,187,151.0,7.3743218561010915,50.99928759933945,258.0,260.88235294117646,203.0,162.0,10.328513963394808,6054194100,BC 1 + RT
324,4091.0,13.61,124,141,24.0,24.0,164,1.17,540.0,191,124.0,6.59197099755855,643.0856550750558,197.0,771.3846153846154,171.0,152.5,32.11999186723154,5986707962,BC3
262,993.0,3.82,135,142,271.0,271.0,157,1.47,189.0,161,136.5,3.112474899497183,15.81731646013318,254.0,259.25,244.0,157.5,1.6393596310755,5986704558,Rozgrzewka
279,2744.0,10.16,145,168,32.0,32.0,157,1.41,542.0,174,144.0,5.331955744950975,7.184010022264724,268.5,270.3,261.0,158.0,1.233150906022776,5986704228,BC 1
246,2071.0,10.01,164,180,8.0,8.0,174,1.66,520.0,186,169.0,10.66701101372555,3.5,205.5,206.5,202.0,173.0,9.018804963807934,5964248697,BC 2
316,1377.0,5.45,138,155,24.0,24.0,159,1.49,269.0,165,139.5,1.5,0.0,252.0,252.0,252.0,160.5,1.5,5964246352,BC 1
61,2182.0,9.86,147,167,54.0,54.0,172,1.57,463.0,207,146.5,3.0,48.12907814684701,210.0,244.1428571428572,195.0,174.0,10.511154789080027,5953641530,BC 3
356,853.0,3.23,139,154,7.0,7.0,158,1.43,171.0,167,139.5,0.82915619758885,3.6817870057290873,266.0,265.6666666666667,261.0,159.5,1.6393596310755,5943090582,Rozgrzewka
65,1434.0,4.9,137,176,140.0,140.0,153,1.33,263.0,189,137.0,5.67919960280887,72.62249554720722,273.0,286.8636363636364,200.0,156.0,9.063731501620031,5943090126,fartelek
24,1253.0,4.84,131,139,14.0,14.0,158,1.46,215.0,170,130.0,3.0066592756745814,6.48074069840786,261.0,259.0,250.0,158.0,1.019803902718557,5943089381,Rozgrzewka
59,6124.0,25.0,157,176,116.0,116.0,163,1.51,1322.0,233,159.0,7.581217057373172,4.974494949238565,245.0,244.88,235.0,163.0,1.716608738801646,5938014271,BC 1
284,3372.0,14.14,161,181,25.0,25.0,164,1.53,806.0,187,163.0,8.03713602942961,17.604498497456234,238.5,238.28571428571428,216.0,165.0,4.552898954390366,5935096408,BC 1 + RT
